,Tokens,yomi,pos,difficulty,wtype,KNOW,WRITE,READ,SPEAK,LISTEN
7670,洗顔,センガン,名詞,lower intermediate,Chinese,2.0822979584045,0.417714818558298,0.828365037201061,1.12337342008982,1.2198938419525
7672,前期,ゼンキ,名詞,lower intermediate,Chinese,1.71574284768041,0.324750125724814,0.777995440472608,0.688271569805338,0.832838602321304
7673,選挙,センキョ,名詞,lower intermediate,Chinese,1.89142443680775,0.444992598574079,0.951286579414231,0.92063532262491,0.93401242544465
7686,前後,ゼンゴ,名詞,lower intermediate,Chinese,1.8225782960954,1.07340415343601,1.25246532439172,1.18368259878571,1.20941094623387
7694,全国,ゼンコク,名詞,lower intermediate,Chinese,1.86869111503825,0.876108517045096,1.39135286076804,1.22631432726775,1.34833233826329
7697,洗剤,センザイ,名詞,lower intermediate,Chinese,1.76905451743664,0.876586124064671,1.0025386517061,1.30872550143355,1.19002303400729
7704,先日,センジツ,名詞,lower intermediate,Chinese,1.68197076588313,0.876987597760321,1.01634365943032,0.862058960409558,1.05854883190391
7709,選手,センシュ,名詞,lower intermediate,Chinese,1.96706633686573,0.56122630370955,1.39135844139429,1.22316381398264,1.38082848201276
7730,センス,センス,名詞,lower intermediate,foreign,2.04427620314014,0.30218980377399,0.639592971680138,0.908496510524387,0.923094835437979
7745,戦争,センソウ,名詞,lower intermediate,Chinese,1.89043471658268,0.196794395187647,1.01484122025754,0.608352793027746,0.873444300622922
7783,前年,ゼンネン,名詞,lower intermediate,Chinese,1.98342643027896,1.06193069487416,1.22616714506246,1.05879252026312,1.17731002393176
7786,先輩,センパイ,名詞,lower intermediate,Chinese,2.01534767804349,0.458462714552561,0.954661735868771,0.900716351702098,1.00844423002122
7791,前半,ゼンハン,名詞,lower intermediate,Chinese,1.83987788050472,0.95415917828034,1.19876324345276,1.15795681160715,1.27571782836888
7797,扇風機,センプウキ,名詞,lower intermediate,Chinese,1.87289113222817,0.697220643352198,0.786309623737649,1.31033665326603,1.39499024938755
7814,洗面所,センメンジョ,名詞,lower intermediate,Chinese,1.67391281086792,0.735499967851884,0.753013412905842,1.06445473532073,0.97184806806979
7816,専門,センモン,名詞,lower intermediate,Chinese,1.92858491441998,0.838764476991954,1.00630461971791,0.880916897969589,1.162808170344
7817,専門家,センモンカ,名詞,lower intermediate,Chinese,1.78817203967803,0.72085891980388,1.30819338697224,1.10003098829073,1.50773957056023
