,Tokens,yomi,pos,difficulty,wtype,KNOW,WRITE,READ,SPEAK,LISTEN
10146,土曜,ドヨウ,名詞,lower elementary,Chinese,1.9101539283911,1.14714540943509,1.25261793586356,1.47206399626434,1.46852858938965
10229,どれ,ドレ,名詞,lower elementary,native Jap.,1.8427408043183,0.911658962375678,1.09429313779505,1.39383710750696,1.42674654353374
10369,なぜ,ナゼ,副詞,lower elementary,native Jap.,1.80577079474627,1.17156634744091,1.33463828216836,1.24054351381749,1.33993775755974
10584,日本,ニッポン,名詞,lower elementary,Chinese,1.84983222066518,1.04709970173826,1.27748891817027,1.23584308014011,1.36996742413801
10585,日本語,ニホンゴ,名詞,lower elementary,Chinese,1.87186373068197,1.15021240986231,1.46604932127169,1.34198079597936,1.30836702940531
10909,飲む,ノム,動詞1類,lower elementary,native Jap.,1.96049068649216,1.18470470319878,1.40183914501814,1.53530775489187,1.54686280972986
11319,バナナ,バナナ,名詞,lower elementary,foreign,1.85891708209433,1.12211382975952,1.23240896482951,1.46142914548845,1.39631502404958
11379,速い,ハヤイ,イ形容詞,lower elementary,native Jap.,1.77454161983157,1.15136675915154,1.34872565719273,1.50451816949095,1.39923757297285
11839,百,ヒャク,名詞,lower elementary,Chinese,1.98743972876411,1.00889146135095,1.3325884050432,1.32334845466802,1.39104921975909
11913,平仮名,ヒラガナ,名詞,lower elementary,native Jap.,1.92418252790827,0.957774737742633,1.24125680182255,1.33672562995796,1.23701720910702
12190,二日,フツカ,名詞,lower elementary,native Jap.,1.91974529357708,0.795978435409959,1.0878118728991,1.19308010703021,1.20981841723418
12195,二つ,フタツ,名詞,lower elementary,native Jap.,1.97925248853158,1.03277270960497,1.31108199435082,1.24886703779243,1.31367152400476
12426,分,フン,接尾辞,lower elementary,Chinese,1.8049990043657,1.23246236580938,1.26879664734135,1.44059834765337,1.3855038243253
12616,勉強,ベンキョウ,名詞,lower elementary,Chinese,1.93229066707705,0.9996649774175,1.3504679368963,1.4043550492181,1.47388934894533
12658,便利,ベンリ,名詞,lower elementary,Chinese,1.90789237000289,1.20959175898523,1.40920752773495,1.40484470773429,1.41733426459628
13357,右,ミギ,名詞,lower elementary,native Jap.,1.9336561526292,0.988807837598458,1.15781757612221,1.39523949694091,1.38239995143018
13880,木曜日,モクヨウビ,名詞,lower elementary,hybird,1.9994179296137,1.05847260179181,1.37257951211519,1.40101484679643,1.48914343405472
14235,有名,ユウメイ,名詞,lower elementary,Chinese,1.99544857442173,0.87658392439606,1.18843256635936,1.48661931391181,1.53712079477439
14257,雪,ユキ,名詞,lower elementary,native Jap.,1.9326257295161,0.956047241308515,1.35143755534573,1.30779084275089,1.33202872080834
14554,来月,ライゲツ,名詞,lower elementary,Chinese,1.84455261473479,1.00629981132598,1.35927800889259,1.4886213495676,1.38738762006402
14788,りんご,リンゴ,名詞,lower elementary,Chinese,1.96014293768872,1.00835833607686,1.42636843698374,1.54198090240363,1.51387213524487
15070,悪い,ワルイ,イ形容詞,lower elementary,native Jap.,1.96610395932414,1.25077275174286,1.44202120419681,1.38819734744984,1.46050110822835
15178,パン,パン,名詞,lower elementary,foreign,1.8310129158439,1.19584878338112,1.34656075645619,1.57141208125845,1.59095444874475
60,赤色,アカイロ,名詞,upper elementary,native Jap.,1.92174765318621,1.00202683816269,1.20181837239525,1.08868914216566,1.17353278487694
164,アジア,アジア,名詞,upper elementary,foreign,1.94709898163338,0.680142361108433,1.2998510996256,1.09985352000631,1.07385287421595
213,あちら,アチラ,名詞,upper elementary,native Jap.,1.75829866822194,0.481898435090325,0.872042450181753,1.07037483375615,1.12193167904934
237,集まる,アツマル,動詞1類,upper elementary,native Jap.,1.9284904705116,0.876022506550775,1.19949281645344,1.15286934715367,1.28373825982939
302,余り,アマリ,名詞,upper elementary,native Jap.,1.94632292296379,1.02329519366332,1.09096730278693,1.20256820527273,1.15642883541526
704,一緒,イッショ,名詞,upper elementary,Chinese,1.84836780927698,0.897024448790894,1.12481846473763,1.08648879573025,1.10277676727138
706,一生懸命,イッショウケンメイ,名詞,upper elementary,Chinese,1.87354446100807,1.02560178628611,1.19714876434426,1.24965076105939,1.27356997042377
729,一杯,イッパイ,名詞,upper elementary,Chinese,1.90146260020615,0.608351818927772,1.04164528038883,1.06171780670019,1.02307101117878
814,嫌,イヤ,ナ形容詞,upper elementary,native Jap.,1.82755499598589,1.05394295601595,1.24715370906248,1.30646583844492,1.28808167729232
981,薄い,ウスイ,イ形容詞,upper elementary,native Jap.,1.94545147909736,1.08062137400098,1.2857570250848,1.36594988967358,1.42213790839568
1073,生まれる,ウマレル,動詞2類,upper elementary,native Jap.,1.88713947822368,0.865189869786161,1.15786656417785,1.14874990050077,1.17746813689941
1607,おととし,オトトシ,名詞,upper elementary,Chinese,1.98763727052187,0.641688103021458,1.01416551542596,1.01882992348994,1.1057675638545
1737,下りる,オリル,動詞2類,upper elementary,native Jap.,1.88504204945886,0.979810749561448,1.05538619059196,1.22785478898855,1.16039057015725
2034,帰り,カエリ,名詞,upper elementary,native Jap.,1.83231157724001,0.878007671892796,1.02247904063383,1.31768527604934,1.12921343013979
2126,家具,カグ,名詞,upper elementary,Chinese,1.89118095580898,0.769981415158515,1.22195521869679,1.26099555623707,1.25400702857227
2450,カップ,カップ,名詞,upper elementary,foreign,1.89236228444786,0.62464841252769,1.12287952029779,1.11552241716268,1.1549478463338
2533,壁,カベ,名詞,upper elementary,native Jap.,1.95083421897616,0.516327581852693,1.0055151927314,1.13175069879821,1.19443439656328
